longitude,latitude,primary_unitid,zone,dispatch_date_to_onscene_date_mins
-68.9245,18.5477,CRD-1205,S-GTE,8.5
-69.866017,18.51265,B-0141,S-B1,30.7
-69.867617,18.53755,B-0152,S-B2,12.8
-69.7965,18.4953,B-0154,S-B3,6.8
-70.0318,18.4675,,S-A3,
-69.911833,18.543317,A-0113,S-B2,52.6
-70.2362,18.273767,CRD-1703,S-NIZ,7.2
-69.982883,18.491617,CRD-0123,S-A3,8.4
-70.0757,18.5582,U-0118,S-A2,22.9
-69.7915,18.548017,B-0156,S-B3,11.7
-69.811383,18.472367,B-0153,S-B3,24.3
-69.7644,18.5294,B-0154,S-B3,24.1
-69.690333,18.456517,B-0158,S-B2,41.7
-69.869,18.5419,,S-B2,
-68.71485,18.609667,B-1101,S-HIG,32.5
-69.899533,18.51115,B-0109,S-A1,9.5
-69.864917,18.52475,B-0149,S-B2,19.9
-69.9963,18.7321,CRD-2903,S-YAM,13.9
-70.0433,18.41685,A-2103,S-BH,13.1
-69.78035,18.494367,B-0154,S-B3,14.3
-70.063233,18.480483,CRD-0116,S-A2,27.5
-70.0007,18.741,CRD-2903,S-YAM,
-69.8391,18.4791,B-0112,S-B1,
-70.0659,18.518583,CRD-0116,S-A2,21.6
-70.003417,18.573533,A-0112,S-B2,29.2
-70.0236,18.4127,A-2103,S-BH,19
-69.8703,18.482167,B-0138,S-B1,7.2
-69.839767,18.5025,B-0119,S-B1,19.2
-69.860967,18.4734,B-0138,S-B1,18.4
-69.96112513,18.49723366,B-0122,S-A3,18.3
-69.9093,18.4989,,S-A1,
-70.0584,18.504617,B-0125,S-A2,24.3
-69.6836,18.4563,U-0172,S-B3,35.5
-69.6836,18.4563,,S-B2,
-68.4214849,18.60350183,A-1106,S-HIG,9.5
-69.87545,18.4783,B-0137,S-B1,28.3
-69.812933,18.539033,A-0114,S-B3,6.4
-68.9888,18.4352,CRD-1203,S-LRO,18.1
-69.921467,18.528767,B-0145,S-B2,20.1
-70.093983,18.420417,A-2101,S-SC,12.9
-69.878433,18.517,CRD-0160,S-B1,11.7
-69.8483,18.4936,B-0141,S-B1,
-70.026733,18.4265,CRD-2111,S-BH,11
-68.395733,18.583667,A-1107,S-HIG,21.3
-69.9543,18.4492,B-0127,S-A3,35.4
-69.9513,18.4406,B-0104,S-A3,11.8
-69.84583,18.485,B-0139,S-B1,
-69.874733,18.480633,B-0137,S-B1,19.3
-69.6097,18.4508,,S-B2,
-69.9885,18.459,B-0105,S-A3,34.9
-69.8446,18.5037,B-0139,S-B1,
